#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0	0.960	0.291	0.368	0	0.923	0.550
COL3A1	MMP2	9606.ENSP00000304408	9606.ENSP00000219070	0	0	0	0	0.478	0.153	0	0.558	0.787
COL3A1	SERPINE1	9606.ENSP00000304408	9606.ENSP00000223095	0	0	0	0	0.117	0.059	0	0.476	0.527
COL3A1	MMP13	9606.ENSP00000304408	9606.ENSP00000260302	0	0	0	0	0.062	0.059	0	0.519	0.538
COL3A1	COL8A1	9606.ENSP00000304408	9606.ENSP00000261037	0	0	0.437	0.710	0.142	0	0.300	0.576	0.538
COL3A1	VCAN	9606.ENSP00000304408	9606.ENSP00000265077	0	0	0	0	0.121	0	0	0.518	0.558
COL3A1	TIMP3	9606.ENSP00000304408	9606.ENSP00000266085	0	0	0	0	0.316	0	0	0.506	0.647
COL3A1	COL6A3	9606.ENSP00000304408	9606.ENSP00000295550	0	0	0	0.571	0.802	0	0.300	0.735	0.900
COL3A1	FNDC1	9606.ENSP00000304408	9606.ENSP00000297267	0	0	0	0	0.547	0	0	0.192	0.618
COL3A1	MFAP5	9606.ENSP00000304408	9606.ENSP00000352455	0	0	0	0	0.293	0	0	0.459	0.601
COL3A1	MYH11	9606.ENSP00000304408	9606.ENSP00000379616	0	0	0	0	0.137	0	0	0.576	0.618
COL3A1	THBS2	9606.ENSP00000304408	9606.ENSP00000355751	0	0	0	0	0.267	0.057	0	0.503	0.626
COL3A1	FN1	9606.ENSP00000304408	9606.ENSP00000346839	0	0	0	0	0.343	0.056	0	0.686	0.789
COL3A1	COL5A1	9606.ENSP00000304408	9606.ENSP00000360882	0	0	0.401	0.841	0.643	0	0.720	0.818	0.914
COL3A1	POSTN	9606.ENSP00000304408	9606.ENSP00000369071	0	0	0	0	0.798	0.103	0	0.609	0.923
COL3A1	FBN1	9606.ENSP00000304408	9606.ENSP00000325527	0	0	0	0	0.864	0.135	0	0.714	0.963
COL3A1	COL5A2	9606.ENSP00000304408	9606.ENSP00000364000	0	0	0.444	0.931	0.939	0	0.720	0.822	0.983
COL5A1	MMP2	9606.ENSP00000360882	9606.ENSP00000219070	0	0	0	0	0.555	0.541	0	0.391	0.865
COL5A1	COL8A1	9606.ENSP00000360882	9606.ENSP00000261037	0	0	0.416	0.730	0.165	0	0.300	0.623	0.544
COL5A1	TIMP3	9606.ENSP00000360882	9606.ENSP00000266085	0	0	0	0	0.224	0	0	0.409	0.522
COL5A1	COL6A3	9606.ENSP00000360882	9606.ENSP00000295550	0	0	0	0.561	0.488	0.192	0.300	0.675	0.776
COL5A1	FBN1	9606.ENSP00000360882	9606.ENSP00000325527	0	0	0	0	0.612	0.394	0	0.611	0.900
COL5A1	FN1	9606.ENSP00000360882	9606.ENSP00000346839	0	0	0	0	0.373	0.281	0	0.518	0.764
COL5A1	THBS2	9606.ENSP00000360882	9606.ENSP00000355751	0	0	0	0	0.307	0.057	0	0.519	0.658
COL5A1	POSTN	9606.ENSP00000360882	9606.ENSP00000369071	0	0	0	0	0.355	0.103	0	0.473	0.669
COL5A1	ZNF469	9606.ENSP00000360882	9606.ENSP00000402343	0	0	0	0	0.121	0.057	0	0.700	0.729
COL5A1	COL5A2	9606.ENSP00000360882	9606.ENSP00000364000	0	0	0.421	0.838	0.663	0.305	0.900	0.868	0.979
COL5A2	FAP	9606.ENSP00000364000	9606.ENSP00000188790	0	0	0	0	0.561	0	0	0.103	0.590
COL5A2	MMP2	9606.ENSP00000364000	9606.ENSP00000219070	0	0	0	0	0.420	0.398	0	0.367	0.760
COL5A2	COL8A1	9606.ENSP00000364000	9606.ENSP00000261037	0	0	0.440	0.712	0.143	0	0.300	0.578	0.538
COL5A2	COL6A3	9606.ENSP00000364000	9606.ENSP00000295550	0	0	0	0.561	0.597	0	0.300	0.749	0.801
COL5A2	FBN1	9606.ENSP00000364000	9606.ENSP00000325527	0	0	0	0	0.646	0.135	0	0.610	0.870
COL5A2	FN1	9606.ENSP00000364000	9606.ENSP00000346839	0	0	0	0	0.353	0.056	0	0.459	0.640
COL5A2	THBS2	9606.ENSP00000364000	9606.ENSP00000355751	0	0	0	0	0.277	0.057	0	0.503	0.632
COL5A2	POSTN	9606.ENSP00000364000	9606.ENSP00000369071	0	0	0	0	0.767	0.103	0	0.470	0.879
COL6A3	MMP2	9606.ENSP00000295550	9606.ENSP00000219070	0	0	0	0	0.357	0.227	0	0.250	0.595
COL6A3	COL8A1	9606.ENSP00000295550	9606.ENSP00000261037	0	0	0	0.651	0.390	0	0.300	0.582	0.642
COL6A3	FN1	9606.ENSP00000295550	9606.ENSP00000346839	0	0	0	0	0.229	0.056	0	0.505	0.608
COL6A3	FBN1	9606.ENSP00000295550	9606.ENSP00000325527	0	0	0	0	0.340	0.076	0	0.467	0.646
COL6A3	ITGA11	9606.ENSP00000295550	9606.ENSP00000327290	0	0	0	0.542	0.192	0	0.600	0.425	0.724
COL6A3	POSTN	9606.ENSP00000295550	9606.ENSP00000369071	0	0	0	0	0.588	0.103	0	0.459	0.782
COL6A3	THBS2	9606.ENSP00000295550	9606.ENSP00000355751	0	0	0	0	0.248	0.056	0.500	0.462	0.783
COL6A3	COL6A6	9606.ENSP00000295550	9606.ENSP00000351310	0	0	0	0.811	0.056	0	0.900	0.820	0.916
COL6A6	ITGA11	9606.ENSP00000351310	9606.ENSP00000327290	0	0	0	0.542	0.081	0	0.600	0.316	0.667
COL6A6	THBS2	9606.ENSP00000351310	9606.ENSP00000355751	0	0	0	0	0.063	0.056	0.500	0.079	0.538
COL9A3	COMP	9606.ENSP00000341640	9606.ENSP00000222271	0	0	0	0	0.062	0.056	0	0.618	0.632
COL9A3	MMP13	9606.ENSP00000341640	9606.ENSP00000260302	0	0	0	0	0	0.059	0.900	0.245	0.922
COL9A3	ITGA11	9606.ENSP00000341640	9606.ENSP00000327290	0	0	0	0	0.062	0	0.600	0	0.608
COL9A3	THBS2	9606.ENSP00000341640	9606.ENSP00000355751	0	0	0	0	0.091	0.056	0.500	0.487	0.751
COL9A3	MATN3	9606.ENSP00000341640	9606.ENSP00000383894	0	0.001	0	0	0.076	0.076	0	0.765	0.782
COMP	MMP13	9606.ENSP00000222271	9606.ENSP00000260302	0	0	0	0	0	0	0	0.603	0.603
COMP	ITGA11	9606.ENSP00000222271	9606.ENSP00000327290	0	0	0	0	0.081	0.067	0.600	0.206	0.691
COMP	PRG4	9606.ENSP00000222271	9606.ENSP00000399679	0	0	0	0	0	0	0	0.718	0.718
COMP	FN1	9606.ENSP00000222271	9606.ENSP00000346839	0	0	0	0	0.062	0.213	0	0.818	0.854
COMP	MATN3	9606.ENSP00000222271	9606.ENSP00000383894	0	0	0	0	0	0.324	0.600	0.783	0.936
CYP26A1	CYP26B1	9606.ENSP00000224356	9606.ENSP00000001146	0	0	0.436	0.915	0.065	0	0.800	0.958	0.827
DLK1	FABP4	9606.ENSP00000340292	9606.ENSP00000256104	0	0	0	0	0	0	0	0.532	0.532
DLK1	MAGEL2	9606.ENSP00000340292	9606.ENSP00000433433	0	0	0	0	0.095	0	0	0.504	0.532
DLK1	IGF2	9606.ENSP00000340292	9606.ENSP00000391826	0	0	0	0	0.217	0	0	0.730	0.780
DLK1	FN1	9606.ENSP00000340292	9606.ENSP00000346839	0	0	0	0	0.062	0	0	0.951	0.953
DLX5	HAND2	9606.ENSP00000222598	9606.ENSP00000352565	0	0	0	0	0.053	0.070	0	0.538	0.558
DLX5	GAD1	9606.ENSP00000222598	9606.ENSP00000350928	0	0	0	0	0.098	0	0	0.586	0.611
DLX5	NKX3-2	9606.ENSP00000222598	9606.ENSP00000371875	0	0	0	0.639	0.054	0.115	0.650	0.556	0.743
DPP6	FN1	9606.ENSP00000367001	9606.ENSP00000346839	0	0	0	0	0	0.149	0	0.459	0.520
DPT	OGN	9606.ENSP00000356791	9606.ENSP00000262551	0	0	0	0	0.189	0	0	0.483	0.563
DPT	FN1	9606.ENSP00000356791	9606.ENSP00000346839	0	0	0	0	0.090	0	0	0.560	0.582
DPT	POSTN	9606.ENSP00000356791	9606.ENSP00000369071	0	0	0	0	0.252	0	0	0.423	0.550
ECM2	OGN	9606.ENSP00000344758	9606.ENSP00000262551	0	0	0	0.589	0.647	0	0	0.824	0.765
EFNA2	NGFR	9606.ENSP00000215368	9606.ENSP00000172229	0	0	0	0	0.064	0	0.600	0.176	0.664
ELFN2	GFAP	9606.ENSP00000385277	9606.ENSP00000468500	0	0	0	0	0.570	0	0	0	0.570
EMILIN1	ITGA11	9606.ENSP00000369677	9606.ENSP00000327290	0	0	0	0	0.076	0	0.540	0	0.556
EMILIN1	PLAC9	9606.ENSP00000369677	9606.ENSP00000361337	0	0	0	0	0.107	0.477	0	0	0.512
FABP4	PRDM16	9606.ENSP00000256104	9606.ENSP00000270722	0	0	0	0	0	0.059	0	0.648	0.655
FABP4	PLIN1	9606.ENSP00000256104	9606.ENSP00000300055	0	0	0	0	0.159	0	0	0.781	0.808
FAP	POSTN	9606.ENSP00000188790	9606.ENSP00000369071	0	0	0	0	0.573	0	0	0.378	0.723
FAP	FN1	9606.ENSP00000188790	9606.ENSP00000346839	0	0	0	0	0.200	0.163	0	0.670	0.760
FAT3	PTPRD	9606.ENSP00000432586	9606.ENSP00000370593	0	0	0	0	0.206	0.108	0	0.449	0.576
FBN1	MMP2	9606.ENSP00000325527	9606.ENSP00000219070	0	0	0	0	0.444	0.061	0	0.468	0.697
FBN1	VCAN	9606.ENSP00000325527	9606.ENSP00000265077	0	0	0	0	0.102	0.270	0	0.943	0.959
FBN1	MYH11	9606.ENSP00000325527	9606.ENSP00000379616	0	0	0	0	0.063	0	0	0.666	0.674
FBN1	POSTN	9606.ENSP00000325527	9606.ENSP00000369071	0	0	0	0	0.331	0	0	0.548	0.684
FBN1	MFAP4	9606.ENSP00000325527	9606.ENSP00000378957	0	0	0	0	0.174	0.317	0	0.658	0.791
FBN1	FN1	9606.ENSP00000325527	9606.ENSP00000346839	0	0	0	0	0.343	0.297	0	0.922	0.961
FBN1	MFAP5	9606.ENSP00000325527	9606.ENSP00000352455	0	0	0	0	0.173	0.213	0.650	0.927	0.981
FGF19	NGFR	9606.ENSP00000294312	9606.ENSP00000172229	0	0	0	0	0	0	0.600	0.146	0.643
FGF19	FN1	9606.ENSP00000294312	9606.ENSP00000346839	0	0	0	0	0	0	0	0.608	0.608
FGF19	FGF3	9606.ENSP00000294312	9606.ENSP00000334122	0	0	0	0.646	0.109	0	0.500	0.831	0.671
FGF3	NGFR	9606.ENSP00000334122	9606.ENSP00000172229	0	0	0	0	0	0	0.600	0.167	0.652
FGF3	FN1	9606.ENSP00000334122	9606.ENSP00000346839	0	0	0	0	0	0	0	0.603	0.603
FLNC	ITGA11	9606.ENSP00000327145	9606.ENSP00000327290	0	0	0	0	0.091	0	0.600	0.099	0.644
FN1	MMP2	9606.ENSP00000346839	9606.ENSP00000219070	0	0	0	0.616	0.349	0.129	0	0.877	0.607
FN1	SERPINE1	9606.ENSP00000346839	9606.ENSP00000223095	0	0	0	0	0.295	0	0	0.749	0.815
FN1	MMP13	9606.ENSP00000346839	9606.ENSP00000260302	0	0	0	0	0	0	0	0.665	0.665
FN1	VCAN	9606.ENSP00000346839	9606.ENSP00000265077	0	0	0	0	0.097	0	0	0.970	0.972
FN1	TIMP3	9606.ENSP00000346839	9606.ENSP00000266085	0	0	0	0	0.282	0	0	0.599	0.699
FN1	SFRP2	9606.ENSP00000346839	9606.ENSP00000274063	0	0	0	0	0.089	0	0	0.701	0.716
FN1	ITGA11	9606.ENSP00000346839	9606.ENSP00000327290	0	0	0	0	0.110	0	0.600	0.500	0.806
FN1	MATN3	9606.ENSP00000346839	9606.ENSP00000383894	0	0	0	0	0.185	0	0	0.439	0.523
FN1	IGF2	9606.ENSP00000346839	9606.ENSP00000391826	0	0	0	0	0.160	0	0	0.477	0.542
FN1	GFAP	9606.ENSP00000346839	9606.ENSP00000468500	0	0	0	0	0	0	0	0.585	0.585
FN1	THBS2	9606.ENSP00000346839	9606.ENSP00000355751	0	0	0	0	0.283	0	0	0.720	0.791
FN1	POSTN	9606.ENSP00000346839	9606.ENSP00000369071	0	0	0	0	0.339	0	0	0.988	0.992
FOXE1	SOX11	9606.ENSP00000364265	9606.ENSP00000322568	0	0	0	0	0	0.125	0	0.471	0.517
GAD1	LHX1	9606.ENSP00000350928	9606.ENSP00000477829	0	0	0	0	0.158	0	0	0.430	0.500
GAD1	GFAP	9606.ENSP00000350928	9606.ENSP00000468500	0	0	0	0	0.160	0	0	0.688	0.727
GALNT5	MUC5B	9606.ENSP00000259056	9606.ENSP00000436812	0	0	0	0	0	0	0.900	0.063	0.902
GALNT9	MUC5B	9606.ENSP00000380488	9606.ENSP00000436812	0	0	0	0	0	0	0.900	0.107	0.906
GFAP	NGFR	9606.ENSP00000468500	9606.ENSP00000172229	0	0	0	0	0	0	0	0.543	0.543
GLT8D2	ZNF469	9606.ENSP00000354053	9606.ENSP00000402343	0	0	0	0	0.065	0	0	0.550	0.561
GPC6	VCAN	9606.ENSP00000366246	9606.ENSP00000265077	0	0	0	0	0.076	0	0.900	0.456	0.945
GPC6	PTPRD	9606.ENSP00000366246	9606.ENSP00000370593	0	0	0	0	0.108	0.199	0	0.454	0.576
GPC6	LRRTM4	9606.ENSP00000366246	9606.ENSP00000386357	0	0	0	0	0	0.165	0	0.553	0.611
GREM2	SOSTDC1	9606.ENSP00000318650	9606.ENSP00000304930	0	0	0	0	0	0	0	0.556	0.556
HAND2	NKX3-2	9606.ENSP00000352565	9606.ENSP00000371875	0	0	0	0	0.062	0.136	0	0.744	0.774
HAS1	VCAN	9606.ENSP00000222115	9606.ENSP00000265077	0	0	0	0	0.062	0	0	0.512	0.522
IGF2	NGFR	9606.ENSP00000391826	9606.ENSP00000172229	0	0	0	0	0.071	0	0.600	0.218	0.684
IGF2	MMP2	9606.ENSP00000391826	9606.ENSP00000219070	0	0	0	0	0.165	0	0.900	0.394	0.944
IGF2	IGF2BP1	9606.ENSP00000391826	9606.ENSP00000290341	0	0	0	0	0	0	0	0.750	0.751
IGF2	INS-IGF2	9606.ENSP00000391826	9606.ENSP00000380440	0	0	0	0	0.098	0	0	0.691	0.709
ITGA11	ITGBL1	9606.ENSP00000327290	9606.ENSP00000365351	0	0	0	0	0.118	0.190	0	0.665	0.740
ITGA11	THBS2	9606.ENSP00000327290	9606.ENSP00000355751	0	0	0	0	0.158	0.067	0.600	0.291	0.747
ITGBL1	MMP2	9606.ENSP00000365351	9606.ENSP00000219070	0	0	0	0	0.099	0.395	0	0.177	0.512
JPH2	PLN	9606.ENSP00000362071	9606.ENSP00000350132	0	0	0	0	0.095	0	0	0.565	0.590
LHX1	SIX3	9606.ENSP00000477829	9606.ENSP00000260653	0	0	0	0	0.062	0	0	0.588	0.597
LSAMP	NEGR1	9606.ENSP00000419000	9606.ENSP00000350364	0	0	0	0.950	0.164	0.426	0	0.682	0.516
MFAP4	MFAP5	9606.ENSP00000378957	9606.ENSP00000352455	0	0	0	0	0.085	0	0.600	0.390	0.757
MFAP4	POSTN	9606.ENSP00000378957	9606.ENSP00000369071	0	0	0	0	0.295	0	0	0.375	0.541
MMP13	SERPINE1	9606.ENSP00000260302	9606.ENSP00000223095	0	0	0	0	0.062	0.056	0	0.507	0.526
MMP13	PRG4	9606.ENSP00000260302	9606.ENSP00000399679	0	0	0	0	0	0	0	0.565	0.565
MMP13	TIMP3	9606.ENSP00000260302	9606.ENSP00000266085	0	0	0	0	0	0.327	0	0.700	0.790
MMP2	VCAN	9606.ENSP00000219070	9606.ENSP00000265077	0	0	0	0	0.097	0	0	0.494	0.523
MMP2	SERPINE1	9606.ENSP00000219070	9606.ENSP00000223095	0	0	0	0	0.218	0.056	0	0.662	0.729
MMP2	POSTN	9606.ENSP00000219070	9606.ENSP00000369071	0	0	0	0	0.449	0.388	0	0.503	0.817
MMP2	THBS2	9606.ENSP00000219070	9606.ENSP00000355751	0	0	0	0	0.339	0.270	0	0.946	0.971
MMP2	TIMP3	9606.ENSP00000219070	9606.ENSP00000266085	0	0	0	0	0.288	0.670	0.800	0.973	0.998
MYH11	PRKG1	9606.ENSP00000379616	9606.ENSP00000363092	0	0	0	0	0.063	0.058	0	0.514	0.534
NGFR	SORCS2	9606.ENSP00000172229	9606.ENSP00000422185	0	0	0	0	0.088	0.473	0	0.978	0.988
NR4A3	SIX3	9606.ENSP00000482027	9606.ENSP00000260653	0	0	0	0	0	0.675	0	0.403	0.797
OGN	POSTN	9606.ENSP00000262551	9606.ENSP00000369071	0	0	0	0	0.208	0	0	0.470	0.562
OGN	OMD	9606.ENSP00000262551	9606.ENSP00000364700	0	0	0	0.641	0.510	0	0.900	0.839	0.964
PLIN1	PRDM16	9606.ENSP00000300055	9606.ENSP00000270722	0	0	0	0	0	0	0	0.518	0.518
PLIN1	PRKG1	9606.ENSP00000300055	9606.ENSP00000363092	0	0	0	0	0	0	0.800	0.157	0.824
PLN	PRKG1	9606.ENSP00000350132	9606.ENSP00000363092	0	0	0	0	0.060	0	0.900	0.046	0.902
POSTN	PRRX1	9606.ENSP00000369071	9606.ENSP00000239461	0	0	0	0	0.347	0	0	0.277	0.508
POSTN	VCAN	9606.ENSP00000369071	9606.ENSP00000265077	0	0	0	0	0.147	0	0	0.646	0.685
POSTN	SFRP2	9606.ENSP00000369071	9606.ENSP00000274063	0	0	0	0	0.153	0	0	0.524	0.580
POSTN	THBS2	9606.ENSP00000369071	9606.ENSP00000355751	0	0	0	0	0.335	0	0	0.558	0.694
PRDM16	TBX1	9606.ENSP00000270722	9606.ENSP00000331791	0	0	0	0	0	0.058	0	0.625	0.632
PRG4	VCAN	9606.ENSP00000399679	9606.ENSP00000265077	0	0	0	0	0	0	0	0.539	0.539
PTGFR	PTGIS	9606.ENSP00000359793	9606.ENSP00000244043	0	0	0	0	0	0	0	0.526	0.526
SCG2	VGF	9606.ENSP00000304133	9606.ENSP00000249330	0	0	0	0	0.231	0	0	0.677	0.741
SERPINE1	THBS2	9606.ENSP00000223095	9606.ENSP00000355751	0	0	0	0	0.149	0.059	0	0.468	0.537
THBS2	VCAN	9606.ENSP00000355751	9606.ENSP00000265077	0	0	0	0	0.128	0	0	0.519	0.562
THBS2	TIMP3	9606.ENSP00000355751	9606.ENSP00000266085	0	0	0	0	0.195	0	0	0.424	0.517
